Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,time_max,time_min,time_mean,time_quant_10,time_quant_50,time_quant_90
45,No,Travel_Rarely,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,9.50388888888889,7.545,8.403485477178425,8.028611111111111,8.416944444444445,8.768055555555556
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,2.0,4.0,3.0,3,3,7.836944444444445,6.262222222222222,7.06895458736745,6.718055555555556,7.029166666666667,7.478055555555556
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,9.955833333333333,8.421111111111111,9.301409509946627,8.903722222222221,9.33,9.671833333333332
47,Yes,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,10.4675,8.60388888888889,9.399931442080378,9.04861111111111,9.38888888888889,9.753166666666667
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,7.136388888888889,5.321111111111111,6.08968764407561,5.7058333333333335,6.095,6.451666666666667
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,7.608888888888889,5.911666666666667,6.705174636661979,6.287611111111111,6.706388888888889,7.092888888888889
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,7.6338888888888885,5.7941666666666665,6.619040626529614,6.216277777777778,6.611666666666666,7.037222222222222
37,No,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,11.696388888888889,10.202777777777778,11.014328139114726,10.60125,11.01972222222222,11.426388888888889
35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,7.9783333333333335,6.050277777777778,6.960253831417625,6.528388888888888,6.948055555555555,7.353583333333334
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,10.172777777777778,8.471388888888889,9.293555796055795,8.908333333333333,9.295833333333333,9.697777777777778
26,No,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,8.41638888888889,6.858055555555556,7.590778256704982,7.2010555555555555,7.584583333333333,8.029527777777778
50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,6.816944444444444,5.245,6.008613495469718,5.615166666666666,6.0175,6.380666666666667
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,9.423333333333334,7.6402777777777775,8.402108477011494,8.00786111111111,8.416666666666668,8.79725
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1.0,14,0,,4,20,11,6,2.0,3.0,3.0,1,3,7.5275,6.043055555555555,6.8070052800734615,6.405166666666667,6.802083333333334,7.208388888888889
29,No,Travel_Frequently,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,8.049444444444445,6.252222222222223,7.093167388167388,6.664722222222222,7.103055555555556,7.494722222222222
55,No,Travel_Rarely,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,10.199444444444444,8.466666666666667,9.362002074688798,9.036388888888888,9.337222222222222,9.7475
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,11.963055555555556,10.233611111111111,10.977123430962344,10.567055555555555,10.999444444444444,11.320666666666668
37,No,Travel_Rarely,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,8.349166666666667,6.871111111111111,7.604444444444445,7.219305555555556,7.612361111111111,7.992638888888889
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,11.830833333333333,10.083055555555555,10.97758573388203,10.560277777777777,10.98611111111111,11.360666666666667
38,No,Travel_Rarely,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,7.616388888888889,6.011111111111111,6.8312753623188405,6.480083333333333,6.844722222222222,7.222888888888889
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,10.83361111111111,9.360555555555555,10.109408263305323,9.717638888888889,10.100277777777778,10.53075
28,No,Travel_Rarely,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,7.644722222222223,5.821111111111111,6.709665977961433,6.293277777777778,6.737638888888888,7.102222222222222
49,No,Travel_Frequently,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,11.409444444444444,9.471388888888889,10.518214624881292,10.119694444444445,10.523472222222223,10.909777777777778
36,No,Travel_Rarely,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,6.885555555555555,5.405833333333334,6.182887517146776,5.815944444444445,6.186388888888889,6.548222222222223
31,No,Travel_Frequently,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,7.480277777777777,5.744722222222222,6.586388888888888,6.211416666666667,6.6075,6.96825
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,36,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,11.14638888888889,9.2125,10.272241379310346,9.882111111111112,10.300833333333333,10.617388888888888
37,No,Travel_Frequently,Sales,9,1,Marketing,37,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,10.83361111111111,9.285277777777777,9.982733011937558,9.594777777777777,9.991944444444444,10.3315
42,No,Travel_Frequently,Sales,2,2,Marketing,38,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,6.575,5.231388888888889,5.979567632850242,5.551472222222222,5.999027777777778,6.371333333333333
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,39,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,7.505277777777778,6.017222222222222,6.775967939304944,6.396611111111111,6.7780555555555555,7.124666666666666
35,No,Travel_Rarely,Sales,20,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,8.585,6.8069444444444445,7.690160390516039,7.282277777777778,7.716111111111111,8.04288888888889
36,No,Travel_Frequently,Research & Development,8,3,Other,41,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,3.0,2.0,3.0,2,3,7.938611111111111,6.356111111111111,7.204732468123862,6.8414166666666665,7.202500000000001,7.566972222222223
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,8.278333333333334,6.849166666666667,7.594769503546099,7.239333333333334,7.5936111111111115,8.015722222222221
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,7.960833333333333,5.815277777777778,6.95264233241506,6.560111111111111,6.964583333333334,7.338666666666667
18,No,Travel_Rarely,Sales,7,3,Life Sciences,44,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,7.976944444444444,6.016388888888889,7.008878472222222,6.639277777777777,7.019861111111111,7.404472222222222
28,No,Travel_Rarely,Research & Development,9,3,Medical,45,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,8.04111111111111,6.442222222222222,7.201573315118397,6.810416666666667,7.214027777777778,7.5496388888888895
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,8.036111111111111,6.257777777777778,7.1728749999999994,6.774694444444445,7.170972222222222,7.596722222222222
39,No,Travel_Rarely,Sales,5,4,Marketing,47,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,8.457222222222223,6.670833333333333,7.636801418439717,7.251333333333333,7.626111111111111,8.046833333333334
36,No,Non-Travel,Research & Development,5,4,Life Sciences,48,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,8.716666666666667,7.147777777777778,7.83278129395218,7.437388888888889,7.855277777777777,8.20588888888889
32,No,Travel_Rarely,Sales,2,3,Marketing,49,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,7.882777777777778,5.958611111111111,6.974765051395007,6.585333333333333,6.964444444444444,7.402
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,50,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,7.661111111111111,6.215833333333333,6.906424220272905,6.528527777777778,6.905277777777778,7.309722222222223
58,No,Non-Travel,Research & Development,2,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,12.064444444444444,9.999166666666667,10.895463728191,10.529027777777777,10.899861111111111,11.255638888888889
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,52,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,9.955833333333333,8.405,9.125665729020158,8.744388888888889,9.104444444444445,9.56338888888889
31,No,Travel_Rarely,Sales,7,4,Marketing,53,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,7.644722222222223,6.041388888888889,6.831459786145978,6.471333333333334,6.8372222222222225,7.177944444444445
45,No,Travel_Frequently,Research & Development,3,1,Medical,54,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,8.19,6.6194444444444445,7.3160499058380415,6.941527777777778,7.287777777777778,7.755138888888889
31,No,Travel_Rarely,Sales,16,4,Marketing,55,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,9.470833333333333,7.765555555555555,8.610798041894354,8.197027777777778,8.613472222222223,9.001944444444446
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,56,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,7.746111111111111,6.0475,6.784845288326301,6.403388888888888,6.789722222222222,7.133055555555556
39,No,Travel_Rarely,Sales,1,4,Life Sciences,57,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,11.811111111111112,10.161388888888888,10.986099773242628,10.586611111111111,10.993333333333334,11.386277777777778
43,No,Travel_Frequently,Research & Development,7,4,Medical,58,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,8.505555555555556,6.945277777777778,7.68658467939305,7.281722222222222,7.688888888888889,8.065388888888888
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,10.881666666666666,9.053055555555556,9.948856881572931,9.564,9.976111111111111,10.342611111111111
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,60,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,8.951666666666666,7.198333333333333,7.9055276615527665,7.529722222222222,7.898611111111111,8.324444444444445
27,No,Travel_Rarely,Research & Development,15,4,Medical,61,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,11.535277777777777,9.976111111111111,10.672414617486337,10.26,10.667916666666667,11.051805555555555
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,62,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,11.326666666666666,9.639444444444445,10.496171548117156,10.129388888888888,10.4875,10.862
27,No,Travel_Rarely,Research & Development,13,2,Medical,63,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,10.885,9.158333333333333,10.069261664261665,9.675,10.061666666666667,10.47638888888889
31,No,Travel_Rarely,Sales,24,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,7.464722222222222,5.730277777777777,6.607014174668495,6.221166666666667,6.6125,6.960833333333333
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,8.257777777777777,6.531944444444444,7.497914908579466,7.1209999999999996,7.505833333333333,7.814111111111111
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,66,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,11.38861111111111,9.872777777777777,10.727235717498877,10.381833333333333,10.738611111111112,11.093666666666666
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,67,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,6.918055555555555,5.477222222222222,6.184816810344828,5.7851944444444445,6.1883333333333335,6.599944444444444
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,68,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,7.3075,5.759444444444444,6.609300048947627,6.266611111111111,6.626111111111111,6.977444444444444
39,No,Travel_Frequently,Research & Development,19,4,Medical,69,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,6.844444444444444,5.339166666666666,6.07624634502924,5.734277777777778,6.063888888888888,6.462388888888889
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,70,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,10.715833333333334,9.200833333333334,9.971745709123757,9.604166666666666,9.968333333333334,10.335277777777778
33,No,Travel_Frequently,Sales,4,2,Life Sciences,71,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,8.068888888888889,6.698611111111111,7.42145202020202,7.050611111111111,7.4238888888888885,7.7915833333333335
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,72,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,7.1925,5.4302777777777775,6.493810013717422,6.117277777777778,6.501666666666667,6.860222222222222
43,No,Travel_Frequently,Research & Development,14,3,Medical,73,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,7.146388888888889,5.542777777777777,6.299470449172577,5.926333333333333,6.296388888888889,6.6605
27,No,Non-Travel,Research & Development,2,3,Life Sciences,74,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,10.124166666666667,8.376388888888888,9.316973304473304,8.93138888888889,9.3225,9.6775
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,75,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,6.885277777777778,5.3925,6.097862787356322,5.705638888888889,6.090833333333333,6.4727500000000004
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,76,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,7.853888888888889,6.4725,7.217327264239029,6.843972222222222,7.236388888888889,7.5727777777777785
45,No,Travel_Rarely,Sales,3,1,Marketing,77,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,7.894166666666667,6.292777777777777,7.100070018365472,6.718222222222223,7.096527777777778,7.50911111111111
40,No,Travel_Rarely,Research & Development,2,4,Other,78,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,10.701666666666666,9.053888888888888,9.914107744107746,9.52138888888889,9.9075,10.292222222222222
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,79,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,11.379444444444445,9.748055555555556,10.477788647342997,10.095833333333333,10.473333333333333,10.865472222222222
29,No,Travel_Rarely,Human Resources,8,3,Medical,80,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,7.652222222222222,6.103888888888889,6.906938633193863,6.469611111111111,6.943611111111111,7.258111111111112
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,8.456388888888888,6.627777777777778,7.58909243295019,7.209444444444444,7.572777777777778,7.97575
27,No,Travel_Rarely,Research & Development,11,2,Medical,82,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,6.754166666666666,5.189166666666667,6.079724499089253,5.672666666666667,6.100972222222222,6.444277777777778
37,No,Travel_Rarely,Sales,1,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,6.816944444444444,5.223333333333334,6.001112288135593,5.670555555555556,5.9833333333333325,6.410416666666666
38,No,Travel_Rarely,Research & Development,28,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,9.831666666666667,8.228055555555555,8.983123278236915,8.602555555555554,8.976944444444445,9.352888888888888
31,No,Travel_Rarely,Research & Development,6,3,Medical,85,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3.0,4.0,2.0,3,3,11.390833333333333,9.525555555555556,10.426184640522877,10.012527777777777,10.434444444444445,10.795694444444445
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,9.117777777777778,7.435555555555555,8.387526183970857,8.035805555555555,8.40388888888889,8.699250000000001
35,No,Travel_Rarely,Sales,16,2,Technical Degree,87,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,8.65611111111111,7.2380555555555555,7.9120386266094425,7.5152222222222225,7.9222222222222225,8.287944444444445
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,8.055277777777778,6.214722222222222,7.105291842475386,6.735111111111111,7.1194444444444445,7.477833333333334
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,10.613888888888889,8.886111111111111,9.688633193863318,9.315833333333334,9.686388888888889,10.011999999999999
47,No,Travel_Frequently,Sales,1,3,Medical,90,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,8.595555555555556,6.584722222222222,7.770347512784752,7.378,7.791666666666667,8.152222222222223
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,91,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,7.108333333333333,5.525555555555556,6.284280356305673,5.9355,6.2683333333333335,6.686333333333334
29,No,Non-Travel,Sales,22,4,Marketing,92,Male,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,7.287222222222222,5.3125,6.306108726752504,5.893222222222223,6.3213888888888885,6.679277777777777
42,No,Travel_Rarely,Sales,7,4,Medical,93,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,9.709722222222222,7.915277777777778,8.831585038986356,8.424222222222221,8.82888888888889,9.255277777777778
32,No,Travel_Rarely,Research & Development,2,3,Medical,94,Male,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,8.662222222222223,7.041944444444445,7.722377344877344,7.312222222222222,7.713888888888889,8.091388888888888
48,No,Travel_Rarely,Sales,13,4,Medical,95,Male,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,8.02138888888889,6.616666666666666,7.317479732951836,6.968222222222223,7.321944444444444,7.646277777777778
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,11.62111111111111,9.825555555555555,10.798262483130904,10.446055555555555,10.810277777777777,11.16138888888889
30,No,Non-Travel,Sales,25,4,Other,97,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,11.192777777777778,9.605277777777777,10.40136394557823,10.043722222222222,10.407222222222222,10.791222222222222
26,No,Travel_Rarely,Sales,28,3,Medical,98,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,6.900555555555556,5.202222222222222,5.994326703246457,5.6082777777777775,5.9944444444444445,6.379555555555555
42,No,Travel_Rarely,Sales,2,2,Medical,99,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,7.074166666666667,5.312222222222222,6.113110181311018,5.704833333333333,6.088611111111111,6.548444444444445
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,100,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,9.090833333333334,7.138055555555556,8.133578096539162,7.7674722222222226,8.135833333333334,8.496194444444445
36,No,Non-Travel,Human Resources,28,3,Human Resources,101,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,8.243055555555555,6.4925,7.306164990421457,6.920055555555556,7.274861111111111,7.724888888888889
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,102,Female,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,7.866388888888889,6.321111111111111,7.105030345471522,6.685,7.129583333333333,7.478305555555555
